"code","rides","group","name","lat","long","station"
"6136",2567,"a","Metro Laurier (Rivard / Laurier)",45.52761627,-73.5891147,"start"
"6136",2442,"b","Metro Laurier (Rivard / Laurier)",45.52761627,-73.5891147,"start"
"6396",2428,"c","Metro Pie-IX (Pierre-de-Coubertin / Pie-IX)",45.5542137552456,-73.5515597462654,"start"
"10002",2350,"d","Metro Charlevoix (Centre / Charlevoix)",45.4782278730914,-73.5696512460709,"start"
"6163",2176,"e","Marquette / Laurier",45.53543,-73.5822,"start"
"6408",2136,"f","Metro Georges-Vanier (St-Antoine / Canning)",45.4891,-73.57656,"start"
"6136",2085,"g","Metro Laurier (Rivard / Laurier)",45.52761627,-73.5891147,"start"
"6396",2032,"h","Metro Pie-IX (Pierre-de-Coubertin / Pie-IX)",45.5542137552456,-73.5515597462654,"start"
"7052",1900,"i","Shearer / Centre",45.483005619293,-73.5621866583824,"start"
"6921",1788,"j","Augustin-Cantin / Shearer",45.48401829,-73.5634366,"start"
"10002",2567,"a","Metro Charlevoix (Centre / Charlevoix)",45.4782278730914,-73.5696512460709,"end"
"6136",2442,"b","Metro Laurier (Rivard / Laurier)",45.52761627,-73.5891147,"end"
"6397",2428,"c","Marche Maisonneuve",45.5532188423881,-73.539782166481,"end"
"10002",2350,"d","Metro Charlevoix (Centre / Charlevoix)",45.4782278730914,-73.5696512460709,"end"
"6164",2176,"e","de Lanaudiere / Laurier",45.5333136054992,-73.5837368667126,"end"
"6398",2136,"f","Desjardins / Ontario",45.5511918874866,-73.5408724844456,"end"
"6163",2085,"g","Marquette / Laurier",45.53543,-73.5822,"end"
"6165",2032,"h","Laurier / de Brebeuf",45.5325139563114,-73.584811091423,"end"
"7052",1900,"i","Shearer / Centre",45.483005619293,-73.5621866583824,"end"
"6401",1788,"j","des Seigneurs / Notre-Dame",45.4877227877418,-73.5690826177597,"end"
