"code","rides","group","name","lat","long","station"
"6501",5178,"a","Metro Jean-Drapeau (Chemin Macdonald)",45.5128005758196,-73.5311159491539,"start"
"6026",2777,"b","de la Commune / Place Jacques-Cartier",45.5076100945105,-73.5518360137939,"start"
"6036",2404,"c","de la Commune / St-Sulpice",45.504242455634,-73.553469479084,"start"
"6052",1548,"d","de la Commune / King",45.4975150337937,-73.552570939064,"start"
"6052",1528,"e","de la Commune / King",45.4975150337937,-73.552570939064,"start"
"6036",1519,"f","de la Commune / St-Sulpice",45.504242455634,-73.553469479084,"start"
"6406",1427,"g","Marche Atwater",45.4802082280002,-73.577598631382,"start"
"6406",1336,"h","Marche Atwater",45.4802082280002,-73.577598631382,"start"
"6036",1278,"i","de la Commune / St-Sulpice",45.504242455634,-73.553469479084,"start"
"7139",1276,"j","Parc Plage",45.5028278556367,-73.5277926921844,"start"
"6501",5178,"a","Metro Jean-Drapeau (Chemin Macdonald)",45.5128005758196,-73.5311159491539,"end"
"6026",2777,"b","de la Commune / Place Jacques-Cartier",45.5076100945105,-73.5518360137939,"end"
"6026",2404,"c","de la Commune / Place Jacques-Cartier",45.5076100945105,-73.5518360137939,"end"
"6036",1548,"d","de la Commune / St-Sulpice",45.504242455634,-73.553469479084,"end"
"6052",1528,"e","de la Commune / King",45.4975150337937,-73.552570939064,"end"
"6036",1519,"f","de la Commune / St-Sulpice",45.504242455634,-73.553469479084,"end"
"6406",1427,"g","Marche Atwater",45.4802082280002,-73.577598631382,"end"
"6406",1336,"h","Marche Atwater",45.4802082280002,-73.577598631382,"end"
"6026",1278,"i","de la Commune / Place Jacques-Cartier",45.5076100945105,-73.5518360137939,"end"
"6501",1276,"j","Metro Jean-Drapeau (Chemin Macdonald)",45.5128005758196,-73.5311159491539,"end"
